T. Ahumada GK,21,60,68,Audax Italiano 2019 ~ 2024,€475K,€550,1112
G. Arias GK,34,79,79,Racing Club 2018 ~ 2023,€3M,€18K,1324
B. Cortés GK,27,72,75,Colo-Colo 2018 ~ 2024,€2.3M,€4K,1347
W. Alarcón CM CDM LM,21,63,72,UD Ibiza 2023 ~ 2025,€1.1M,€1K,1671
J. Alfaro RW ST,20,65,72,Magallanes 2019 ~ 2024,€1.4M,€1K,1663
C. Aránguiz (COMPLETAR)
A. Aravena RM RW LW,19,70,82,Universidad Católica 2023 ~ 2023,€3.8M,€4K,1684
B. Barticciotto LW ST,21,68,78,Palestino 2022 ~ 2023,€2.7M,€2K,1632
B. Brereton Díaz ST LM,23,74,81,Blackburn Rovers 2019 ~ 2023,€8.5M,€35K,1892
M. Bolados RW RM ST,26,71,71,Colo-Colo 2016 ~ 2023,€2M,€6K,1870
CATAlÁN (COMPLETAR)
A. Canales CM CDM,22,64,73,Magallanes 2023 ~ 2023,€1.3M,€1K,1658
F. Chamorro CAM,20,64,74,Palestino 2020 ~ 2023,€1.3M,€950,1619
J. Delgado RB RM RW,29,69,69,Paços de Ferreira 2021 ~ 2024,€1.2M,€5K,1891
R. Echeverría (COMPLETAR)
Jeison Fuentealba(COMPLETAR)
T. Galdames LB CB LWB,23,68,73,Godoy Cruz 2023 ~ 2024,€1.7M,€4K,1810
Moisés González(COMPLETAR)
Maximiliano Guerrero(COMPLETAR)
D. Gutiérrez CB LB,19,66,80,Colo-Colo 2021 ~ 2026,€1.9M,€1K,1478
Benjamín Kuscevic
Felipe Loyola
G. Maripán CB,28,78,79,Monaco 2019 ~ 2024,€13.5M,€48K,1594
G. Medel CB CDM,34,73,73,Bologna 2019 ~ 2023,€1M,€23K,1858
N. Mehssatou RB LB CM,19,63,74,Kortrijk 2022 ~ 2025,€1M,€2K,1721
E. Mena LB,33,74,74,Universidad Católica 2023 ~ 2024,€2.2M,€10K,1920
Felipe Méndez(COMPLETAR)
C. Montes LM,21,67,79,Celta de Vigo 2020 ~ 2024,€2.5M,€6K,1609
M. Núñez CM CDM,22,71,78,Norwich City 2022 ~ 2026,€3.8M,€23K,1887
Darío Osorio
César Pérez
D. Pizarro ST,17,65,79,Colo-Colo 2022 ~ 2024,€1.6M,€500,1580
V. Pizarro CDM CM,19,68,80,Colo-Colo 2020 ~ 2024,€2.7M,€2K,1734
Erick Pulgar(COMPLETAR)
A. Sánchez ST,33,80,80,Olympique de Marseille 2022 ~ 2023,€13.5M,€51K,2126
G. Soto RB,28,69,69,Huracán 2022 ~ 2025,€1.3M,€7K,1636
G. Suazo LB CM LWB,24,72,75,Toulouse 2023 ~ 2026,€3M,€11K,1866
Diego Valdés(COMPLETAR)
Arturo Vidal(COMPLETAR)
Jonathan Villagra(COMPLETAR)


Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats


C. Bravo GK,39,79,79,Real Betis 2020 ~ 2023,€1.9M,€13K,1488

P. Díaz CB,27,76,76,River Plate 2019 ~ 2024,€7M,€16K,1999


E. Roco CB,29,73,73,Elche 2021 ~ 2023,€2.5M,€16K,1623
M. Díaz CDM CM,35,73,73,Audax Italiano 2023 ~ 2023,€850K,€4K,1971
D. Rubio ST CAM CF,29,73,73,Colorado Rapids 2019 ~ 2026,€3M,€9K,1932


E. Pavez CDM CM,32,72,72,Colo-Colo 2022 ~ 2023,€1.6M,€5K,2004

F. Sierralta CB,25,72,77,Watford 2020 ~ 2024,€3.1M,€26K,1511
P. Rubio ST LW,33,72,72,Ñublense 2022 ~ 2023,€1.5M,€7K,1786
F. Gutiérrez CM CAM,31,71,71,Sporting Kansas City 2023 ~ 2023,€1.5M,€6K,1925
T. Alarcón CDM CM,23,71,78,"Real Zaragoza Jun 30, 2023 On loan",€3.5M,€14K,1802

F. De Paul GK,31,71,71,Colo-Colo 2023 ~ 2024,€1M,€4K,1203
C. Suárez CB LB RB,35,71,71,Palestino 2021 ~ 2023,€500K,€2K,1758

C. Fuentes CDM CM,29,71,71,Colo-Colo 2020 ~ 2024,€1.6M,€5K,1888
C. Pinares CAM CM,31,71,71,Universidad Católica 2022 ~ 2024,€1.6M,€8K,1898
L. Reyes CDM CM,31,71,71,Ñublense 2022 ~ 2023,€1.3M,€6K,1843

C. Palacios CAM LW RW,21,70,80,Colo-Colo 2022 ~ 2024,€3.6M,€3K,1687
Á. Sagal RM LM LWB,29,70,70,Ferencváros 2023 ~ 2023,€1.6M,€650,1933
L. Benegas ST LW,33,70,70,Colo-Colo 2023 ~ 2024,€1M,€5K,1825
F. Mora ST,28,70,70,Portland Timbers 2021 ~ 2025,€1.6M,€6K,1675
B. Ampuero CB,28,70,70,Universidad Católica 2021 ~ 2023,€1.4M,€6K,1527
R. Ureña CDM CM,29,70,70,Universitario 2023 ~ 2023,€1.4M,€700,1796
J. Henríquez CM CAM,28,70,70,Ñublense 2023 ~ 2023,€1.6M,€6K,1829
M. Rodríguez LM LW ST,27,70,70,DC United 2022 ~ 2023,€1.7M,€5K,1821
M. Fernández RWB RM RB,26,70,70,Independiente del Valle 2022 ~ 2025,€1.6M,€600,1771
P. Galdames CM CDM CAM,25,70,72,"Cremonese Jun 30, 2023 On loan",€2M,€3K,1930
M. Allende CAM LW,23,70,77,Mamelodi Sundowns 2022 ~ 2027,€3.2M,€650,1703
C. Villanueva CAM CM,36,70,70,Magallanes 2022 ~ 2023,€525K,€2K,1816

R. Fernández ST LM,31,69,69,Bolívar 2023 ~ 2024,€1.2M,€700,1673

D. Valencia ST RW,22,69,77,Salernitana 2022 ~ 2026,€3.2M,€12K,1653
C. Cuevas LM LW,27,69,69,Universidad Católica 2022 ~ 2024,€1.5M,€6K,1840
I. Saavedra CM CDM,23,69,76,Universidad Católica 2016 ~ 2025,€2.8M,€5K,1750
M. Vargas GK,26,68,72,Cienciano 2023 ~ 2027,€1.3M,€500,1223
R. Caroca CB CDM,32,68,68,Ñublense 2021 ~ 2022,€775K,€3K,1775
C. Vilches CB,38,68,68,Magallanes 2023 ~ 2023,€220K,€1K,1473
E. Wiemberg LB CB LM,28,68,68,Colo-Colo 2023 ~ 2023,€1.1M,€3K,1830
J. Leiva CM CDM,28,68,68,Ñublense 2021 ~ 2025,€1.2M,€4K,1815

A. Parot LB CB,32,68,68,Universidad Católica 2019 ~ 2024,€825K,€4K,1851

C. Munder LW RW LM,22,68,77,Cobresal 2023 ~ 2023,€2.7M,€2K,1652

T. Aránguiz CM CAM,25,68,71,Magallanes 2018 ~ 2023,€1.6M,€2K,1827
G. Tapia RM RW LW,20,67,78,Universidad Católica 2020 ~ 2025,€2.2M,€3K,1560
P. Aránguiz CAM CM LW,25,67,69,Ñublense 2020 ~ 2023,€1.3M,€3K,1718
B. Carrasco RW RM ST,31,67,67,Palestino 2020 ~ 2024,€850K,€2K,1817
F. Flores ST LW,35,67,67,Magallanes 2022 ~ 2023,€425K,€1K,1665
B. Nieto RB,24,67,72,Universidad Católica 2019 ~ 2023,€1.4M,€3K,1741
D. Zúñiga LB RB,25,67,70,Palestino 2022 ~ 2024,€1.2M,€2K,1723
R. Rebolledo RB RM,25,67,70,Ñublense 2023 ~ 2027,€1.2M,€3K,1572
O. Bosso CB RB,28,67,67,Audax Italiano 2013 ~ 2023,€875K,€2K,1685
L. Valencia CAM ST LW,31,67,67,Cobresal 2023 ~ 2023,€850K,€1K,1663

T. Jones RW CAM LW,24,67,70,Magallanes 2018 ~ 2024,€1.4M,€2K,1658
C. Jorquera CAM CM,33,67,67,Magallanes 2023 ~ 2023,€625K,€2K,1853
M. Rivera CAM CM,26,66,66,Ñublense 2021 ~ 2022,€925K,€3K,1551
J. Bizama RB CB,28,66,66,Palestino 2022 ~ 2024,€775K,€2K,1693
A. Vilches ST,30,66,66,Ñublense 2023 ~ 2023,€850K,€3K,1596
M. Dávila CM LM,30,66,66,Palestino 2021 ~ 2024,€825K,€2K,1825
M. Fuentes Vadulli LW LM,24,66,69,Audax Italiano 2021 ~ 2024,€1.2M,€2K,1555
A. Acevedo CB,39,66,66,Magallanes 2022 ~ 2023,€150K,€900,1404
J. Thompson LW,17,66,79,Colo-Colo 2021 ~ 2024,€1.9M,€500,1604
F. Alarcón CB CM,32,66,66,Cobresal 2022 ~ 2023,€550K,€1K,1368
B. Véjar LB LM,26,66,67,Palestino 2021 ~ 2024,€925K,€1K,1799
F. Espinoza LB LM,22,66,73,Magallanes 2018 ~ 2023,€1.6M,€1K,1716
B. Cerezo RB CB RM,27,66,66,Ñublense 2021 ~ 2023,€825K,€2K,1672
M. Jorquera LB LM,29,66,66,Cobresal 2022 ~ 2023,€750K,€1K,1685
S. Pereira CB,23,66,75,Audax Italiano 2018 ~ 2023,€1.8M,€2K,1410
M. Sepúlveda CAM CM LM,23,66,73,Audax Italiano 2022 ~ 2023,€1.7M,€2K,1813

F. Cornejo CDM CM,26,66,69,Palestino 2023 ~ 2023,€1M,€1K,1787
C. Labrín CB,31,65,65,Audax Italiano 2015 ~ 2023,€500K,€2K,1441
N. Fernández RB RM,22,65,72,Audax Italiano 2016 ~ 2023,€1.4M,€1K,1668
G. Pacheco RB,33,65,65,Cobresal 2022 ~ 2023,€375K,€1K,1770
J. Campusano LB LM,29,65,65,Ñublense 2020 ~ 2023,€625K,€2K,1606

N. Sepúlveda CM RM,30,65,65,Cobresal 2022 ~ 2023,€675K,€1K,1799
R. Cereceda LB LM,37,65,65,Audax Italiano 2021 ~ 2022,€160K,€1K,1791
N. Crovetto LB,36,65,65,Magallanes 2022 ~ 2023,€160K,€850,1704

L. Vigouroux GK,28,65,66,Leyton Orient 2020 ~ 2023,€575K,€4K,1141
D. González CB CM,20,65,74,Universidad Católica 2022 ~ 2025,€1.5M,€2K,1430
A. Souper CAM CM,23,65,72,Magallanes 2023 ~ 2023,€1.4M,€1K,1598
A. Oroz RW LW,19,65,77,Colo-Colo 2017 ~ 2023,€1.7M,€1K,1641
I. Jeraldino ST,26,65,66,Sporting Gijón 2021 ~ 2024,€850K,€3K,1501
J. Castro ST,25,64,67,Cobresal 2023 ~ 2023,€775K,€1K,1539
A. Martínez CM CAM,28,64,64,Palestino 2022 ~ 2023,€575K,€1K,1723
S. Silva CB CM,30,64,64,Cobresal 2020 ~ 2023,€475K,€900,1396
I. Vásquez CM CDM CB,36,64,64,Magallanes 2020 ~ 2023,€180K,€850,1659

P. Cárdenas RB CDM CM,22,64,73,Cobresal 2019 ~ 2024,€1.3M,€750,1624
D. Céspedes CB,23,64,73,Cobresal 2018 ~ 2023,€1.2M,€750,1369
Á. Henríquez ST,28,64,64,Miedź Legnica 2022 ~ 2025,€600K,€1K,1673
M. Filla RB,24,64,69,Magallanes 2022 ~ 2023,€825K,€900,1567

J. Rojas RB CB,20,64,76,Colo-Colo 2020 ~ 2024,€1.3M,€1K,1481
M. León CM,19,64,79,Palestino 2020 ~ 2024,€1.4M,€700,1699
V. Fernández LB,23,64,71,Talleres Córdoba 2023 ~ 2026,€1.1M,€3K,1587
D. Portilla CM,18,63,75,Colo-Colo 2019 ~ 2024,€1.1M,€550,1695
O. Rojas RB CM,22,63,72,Audax Italiano 2018 ~ 2023,€1M,€1K,1620
G. Álvarez RW,25,63,64,Audax Italiano 2020 ~ 2023,€575K,€2K,1492
E. Guerrero CB CDM,31,63,63,Ñublense 2021 ~ 2022,€325K,€2K,1195
J. Deschamps GK,38,63,63,Cobresal 2022 ~ 2027,€50K,€500,1175
J. Muñoz GK,31,63,63,Audax Italiano 2014 ~ 2023,€250K,€1K,1116
M. Collao CM CDM CAM,24,63,67,Audax Italiano 2023 ~ 2023,€675K,€1K,1639
B. Gutiérrez RB CB,20,63,75,Colo-Colo 2020 ~ 2026,€1.1M,€1K,1504

C. Mesías CDM CM,24,63,70,Cobresal 2017 ~ 2023,€900K,€700,1630
S. Contreras ST RW,20,63,75,Magallanes 2020 ~ 2025,€1.2M,€850,1502
M. Vásquez CB RB,19,63,72,Magallanes 2020 ~ 2024,€975K,€500,1558

Y. Oyanedel LB LM,21,62,70,Cobresal 2023 ~ 2023,€850K,€500,1623
B. Provoste CAM CM,22,62,71,Ñublense 2021 ~ 2022,€900K,€1K,1606
M. Vicuña LW RW LM,22,62,67,Magallanes 2017 ~ 2024,€600K,€900,1612
G. Collao GK,24,62,68,Palestino 2023 ~ 2024,€500K,€600,1023
J. Quiroz CDM CM,21,62,70,Magallanes 2020 ~ 2025,€850K,€600,1636
B. Oyarzo RW CAM ST,26,62,62,Ñublense 2023 ~ 2027,€425K,€2K,1474
B. González CM RM,19,62,77,Universidad Católica 2022 ~ 2027,€950K,€1K,1577
M. Araya LW LM,16,61,74,Palestino 2023 ~ 2025,€750K,€500,1659
I. Contreras RB CB,20,61,70,Cobresal 2020 ~ 2024,€675K,€500,1399
E. Matus LB CM,20,61,70,Audax Italiano 2022 ~ 2024,€675K,€800,1620
D. Tapia GK,27,61,64,Magallanes 2022 ~ 2023,€325K,€650,1073
H. Muñoz GK,33,61,61,Ñublense 2021 ~ 2026,€110K,€1K,943
N. Kimura CB RB,25,61,66,Ñublense 2022 ~ 2022,€425K,€1K,1484
A. Riquelme LB,18,61,71,Palestino 2018 ~ 2025,€650K,€500,1500
A. Valdés RW LW,19,61,72,Ñublense 2023 ~ 2027,€700K,€1K,1488
S. Pino CB,19,61,76,Deportivo Alavés 2023 ~ 2026,€725K,€1K,1341
R. Cisterna CAM RW,20,61,72,Ñublense 2022 ~ 2024,€725K,€1K,1463
L. Hernández LM LW,18,60,72,Universidad Católica 2023 ~ 2024,€575K,€600,1511
L. Soto CM,19,60,72,Colo-Colo 2018 ~ 2024,€575K,€700,1640
P. Navarro LB,21,60,71,Colo-Colo 2020 ~ 2023,€525K,€800,1404

N. Mancilla CB,28,60,60,Ñublense 2022 ~ 2024,€210K,€1K,1445
F. Valdés CM,20,60,70,Cobresal 2021 ~ 2024,€550K,€500,1570
N. Meza CM,20,60,69,Palestino 2021 ~ 2024,€550K,€650,1575
C. Muñoz CB,22,59,70,Audax Italiano 2019 ~ 2024,€475K,€900,1262
J. Ortiz CM,18,59,70,Universidad Católica 2023 ~ 2027,€475K,€600,1464
D. Ossa ST,18,59,70,Universidad Católica 2023 ~ 2025,€475K,€800,1433
B. Tapia CB,19,58,68,Audax Italiano 2022 ~ 2024,€400K,€550,1379
A. Cerda ST,16,58,77,Universidad Católica 2023 ~ 2027,€500K,€500,1349
D. Corral RM RW,17,58,72,Universidad Católica 2023 ~ 2027,€475K,€500,1370
N. Letelier CM,17,58,71,Universidad Católica 2023 ~ 2027,€475K,€500,1477
P. Pinto LB,18,58,71,Universidad Católica 2023 ~ 2027,€450K,€500,1336
A. Ceza CB,19,58,65,Palestino 2023 ~ 2024,€375K,€500,1236
A. Barría ST LW,17,58,68,Magallanes 2020 ~ 2025,€425K,€500,1472
D. Salgado RW ST LW,18,57,64,Palestino 2018 ~ 2025,€300K,€500,1531
T. Gillier GK,18,57,74,Universidad Católica 2022 ~ 2024,€375K,€500,815
G. Gajardo GK,20,57,65,Ñublense 2021 ~ 2022,€300K,€700,894
W. Martínez Tauda RW RM,22,57,66,Ñublense 2021 ~ 2026,€375K,€1K,1454
D. Monreal CB,19,57,67,Audax Italiano 2023 ~ 2027,€325K,€550,1308
D. Contreras GK,20,57,71,Palestino 2020 ~ 2024,€350K,€500,857
B. Rojas CB RB,21,57,70,Palestino 2021 ~ 2024,€375K,€550,1236
B. Osses RW RM,20,57,68,Cobresal 2021 ~ 2024,€350K,€550,1413
L. Vásquez CM,20,56,70,Cobresal 2020 ~ 2024,€350K,€500,1434
L. Molina RW,16,56,70,Ñublense 2022 ~ 2027,€325K,€500,1330
M. Tudor ST,18,56,73,Universidad Católica 2023 ~ 2027,€375K,€800,1292
C. Meza CDM CM,18,56,69,Ñublense 2023 ~ 2027,€325K,€500,1463
E. Villanueva GK,17,56,75,Colo-Colo 2022 ~ 2025,€325K,€500,881
J. García GK,23,56,64,Audax Italiano 2023 ~ 2023,€275K,€700,955
A. Santander GK,19,55,69,Cobresal 2019 ~ 2023,€250K,€500,853
